epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
90,1300.01,0.48178,0.43115,0.91274,0.60483,0.62687,0.64108,0.54253,0.68431,1.21493,1.05233,5.40995e-05,5.40995e-05,5.40995e-05
91,1336.22,0.43335,0.27436,0.89174,0.54851,0.65292,0.62671,0.52645,0.68999,1.1837,1.0731,4.9595e-05,4.9595e-05,4.9595e-05
92,1349.93,0.40536,0.25481,0.87657,0.54473,0.69461,0.61568,0.52068,0.68107,1.24121,1.06159,4.50905e-05,4.50905e-05,4.50905e-05
93,1364.02,0.40294,0.25316,0.87476,0.6374,0.5905,0.62052,0.52051,0.67647,1.23536,1.05389,4.0586e-05,4.0586e-05,4.0586e-05
94,1377.83,0.39097,0.24251,0.87296,0.64215,0.57596,0.61279,0.51792,0.67863,1.24086,1.05142,3.60815e-05,3.60815e-05,3.60815e-05
95,1392.07,0.38554,0.24573,0.86773,0.52488,0.67528,0.6092,0.51522,0.67835,1.24176,1.05446,3.1577e-05,3.1577e-05,3.1577e-05
96,1406.54,0.38625,0.24081,0.86836,0.55841,0.64823,0.62618,0.52899,0.67308,1.25512,1.04999,2.70725e-05,2.70725e-05,2.70725e-05
97,1419.82,0.37883,0.2381,0.86294,0.64387,0.59823,0.60652,0.5147,0.67218,1.2673,1.0474,2.2568e-05,2.2568e-05,2.2568e-05
98,1433.27,0.37755,0.23546,0.8656,0.64408,0.60391,0.60776,0.51366,0.6754,1.28167,1.0517,1.80635e-05,1.80635e-05,1.80635e-05
99,1446.58,0.37721,0.23418,0.86697,0.64885,0.60511,0.61159,0.51661,0.6712,1.26263,1.04496,1.3559e-05,1.3559e-05,1.3559e-05
100,1461.3,0.37357,0.23814,0.86439,0.57338,0.62784,0.6142,0.51575,0.67207,1.2621,1.04556,9.0545e-06,9.0545e-06,9.0545e-06
